Key,incident_nb,DateTime_Out
Caserne 09 Grid4_2,40,2017-01-01
Caserne 09 Grid4_2,32,2018-01-01
Caserne 09 Grid4_2,40,2019-01-01
Caserne 09 Grid4_2,22,2020-01-01
Caserne 09 Grid4_2,23,2021-01-01
Caserne 09 Grid4_2,11,2022-01-01
Caserne 09 Grid4_3,1,2020-01-01
Caserne 09 Grid4_3,1,2021-01-01
Caserne 10 Grid0_0,3,2015-01-01
Caserne 10 Grid0_0,5,2016-01-01
Caserne 10 Grid0_0,3,2017-01-01
Caserne 10 Grid0_0,3,2018-01-01
Caserne 10 Grid0_0,1,2019-01-01
Caserne 10 Grid0_0,1,2021-01-01
Caserne 10 Grid0_1,27,2015-01-01
Caserne 10 Grid0_1,29,2016-01-01
Caserne 10 Grid0_1,26,2017-01-01
Caserne 10 Grid0_1,31,2018-01-01
Caserne 10 Grid0_1,25,2019-01-01
Caserne 10 Grid0_1,23,2020-01-01
Caserne 10 Grid0_1,13,2021-01-01
Caserne 10 Grid0_1,4,2022-01-01
Caserne 10 Grid1_0,17,2015-01-01
Caserne 10 Grid1_0,21,2016-01-01
Caserne 10 Grid1_0,16,2017-01-01
Caserne 10 Grid1_0,15,2018-01-01
Caserne 10 Grid1_0,15,2019-01-01
Caserne 10 Grid1_0,21,2020-01-01
Caserne 10 Grid1_0,16,2021-01-01
Caserne 10 Grid1_0,18,2022-01-01
Caserne 10 Grid1_1,148,2015-01-01
Caserne 10 Grid1_1,167,2016-01-01
Caserne 10 Grid1_1,198,2017-01-01
Caserne 10 Grid1_1,228,2018-01-01
Caserne 10 Grid1_1,201,2019-01-01
Caserne 10 Grid1_1,177,2020-01-01
Caserne 10 Grid1_1,175,2021-01-01
Caserne 10 Grid1_1,93,2022-01-01
Caserne 10 Grid1_2,5,2015-01-01
Caserne 10 Grid1_2,4,2016-01-01
Caserne 10 Grid1_2,12,2017-01-01
Caserne 10 Grid1_2,1,2018-01-01
Caserne 10 Grid1_2,4,2020-01-01
Caserne 10 Grid1_2,3,2021-01-01
Caserne 10 Grid1_2,4,2022-01-01
Caserne 10 Grid2_0,1,2015-01-01
Caserne 10 Grid2_0,3,2016-01-01
Caserne 10 Grid2_0,1,2017-01-01
Caserne 10 Grid2_0,1,2018-01-01
Caserne 10 Grid2_0,1,2019-01-01
Caserne 10 Grid2_0,3,2021-01-01
Caserne 10 Grid2_0,1,2022-01-01
Caserne 10 Grid2_1,149,2015-01-01
Caserne 10 Grid2_1,152,2016-01-01
Caserne 10 Grid2_1,197,2017-01-01
Caserne 10 Grid2_1,240,2018-01-01
Caserne 10 Grid2_1,234,2019-01-01
Caserne 10 Grid2_1,203,2020-01-01
Caserne 10 Grid2_1,189,2021-01-01
Caserne 10 Grid2_1,101,2022-01-01
Caserne 10 Grid2_2,2,2015-01-01
Caserne 10 Grid2_2,5,2016-01-01
Caserne 10 Grid2_2,2,2017-01-01
Caserne 10 Grid2_2,2,2019-01-01
Caserne 10 Grid2_2,2,2020-01-01
Caserne 10 Grid2_2,1,2022-01-01
Caserne 13 Grid0_0,4,2015-01-01
Caserne 13 Grid0_0,10,2016-01-01
Caserne 13 Grid0_0,1,2017-01-01
