Key,Sum_Population,Sum_Pop__Densi,Sum_Income___T,Sum_Housing___,Sum_Education_
Caserne 28 Grid4_1,3518,12746.9,2825,1420,2815
Caserne 28 Grid4_2,14922,214090.8,11555,6005,11545
Caserne 28 Grid4_3,10275,119700,8330,4410,8315
Caserne 28 Grid4_4,8631,96101.9,7150,3965,7200
Caserne 28 Grid5_1,1468,926.9,1135,630,1090
Caserne 28 Grid5_2,4679,6145.5,3480,1810,3365
Caserne 28 Grid5_3,3490,33552.9,2425,1280,2495
Caserne 29 Grid0_0,8697,160116.7,7210,4685,7230
Caserne 29 Grid0_1,15460,395230,13150,8490,12995
Caserne 29 Grid0_2,1205,6084.2,1070,655,1060
Caserne 29 Grid1_0,18196,414559.2,15155,9585,15290
Caserne 29 Grid1_1,17178,416593.7,14405,9020,14395
Caserne 29 Grid1_2,4157,18308.6,3480,2160,3395
Caserne 29 Grid2_0,10272,209368.9,8800,5580,8825
Caserne 29 Grid2_1,13348,206937.1,10655,6725,10675
Caserne 29 Grid2_2,3580,19768,2855,1825,2865
Caserne 30 Grid0_0,4749,70060,4155,2645,4090
Caserne 30 Grid0_1,14681,403602.2,11320,6265,11310
Caserne 30 Grid1_0,15496,261637.5,13635,9035,13765
Caserne 30 Grid1_1,21966,567500.2,18695,11040,18550
Caserne 30 Grid1_2,4549,110846.2,4020,2355,3905
Caserne 30 Grid2_0,5667,120536.9,4960,3260,5100
Caserne 30 Grid2_1,6951,165470.5,6115,3695,6205
Caserne 30 Grid2_2,11975,389602.6,10740,6970,10720
Caserne 30 Grid2_3,7489,262284.9,7055,4800,6975
Caserne 30 Grid3_2,7961,253611.4,6990,4910,6965
Caserne 30 Grid3_3,7314,130813.4,6790,4790,7070
Caserne 31 Grid0_0,13581,278370.6,11905,7330,11935
Caserne 31 Grid0_1,10639,165437.2,9235,5805,9245
Caserne 31 Grid1_0,9532,192049.2,8130,5070,8080
Caserne 31 Grid1_1,12764,236698.7,11180,7085,11100
Caserne 31 Grid2_1,3981,46987.3,3420,2285,3375
Caserne 32 Grid0_0,3621,2074.6,2925,1365,3045
Caserne 32 Grid0_1,1626,292.8,1255,595,1320
Caserne 32 Grid1_0,1995,1781.8,1670,770,1725
Caserne 32 Grid1_1,3831,15304.3,3225,1685,3310
Caserne 32 Grid1_2,4088,11666.7,3415,1750,3445
Caserne 32 Grid2_0,6111,40060.4,5040,2605,5050
Caserne 32 Grid2_1,8161,63690.4,6785,3555,6810
Caserne 32 Grid2_2,3478,19603.2,2775,1420,2760
Caserne 32 Grid3_0,960,7105.8,750,380,755
Caserne 32 Grid3_1,657,2047.4,490,255,495
Caserne 33 Grid0_1,2697,51967.3,2150,1205,2190
Caserne 33 Grid0_2,8442,89536.2,6565,3555,6490
Caserne 33 Grid0_3,3538,8253.9,2570,1415,2540
Caserne 33 Grid1_0,1983,22391.4,1640,930,1575
Caserne 33 Grid1_1,15728,335774.5,13195,7720,13290
Caserne 33 Grid1_2,14413,255783,12015,6770,11975
Caserne 33 Grid1_3,1322,12901.9,1085,590,1070
Caserne 33 Grid2_0,3004,40703.5,2485,1465,2515
Caserne 33 Grid2_1,9688,137923,8290,4860,8365
Caserne 33 Grid2_2,2830,37705.3,2475,1430,2540
Caserne 34 Grid0_0,12312,219800.7,10060,5675,10060
Caserne 34 Grid0_1,13059,248458.7,10430,5800,10295
Caserne 34 Grid0_2,6701,122654.5,5620,3215,5550
Caserne 34 Grid1_0,5266,60299.2,4195,2260,4160
Caserne 34 Grid1_1,15923,226969.2,12980,7185,13085
Caserne 34 Grid1_2,10992,182329.7,9190,5130,9225
Caserne 34 Grid2_1,4663,50559,3780,2170,3760
Caserne 34 Grid2_2,2582,21266.2,2155,1210,2125
Caserne 35 Grid0_1,3455,21509.7,1955,1020,1970
Caserne 35 Grid0_2,3418,21118.8,1910,960,1910
Caserne 35 Grid1_0,4152,38992.1,3115,1950,2990
Caserne 35 Grid1_1,9730,126979.9,7670,4610,7700
Caserne 35 Grid1_2,5686,59689.1,4245,2340,4190
Caserne 35 Grid2_0,7207,106462.8,5620,3385,5620
Caserne 35 Grid2_1,7377,98029.5,6275,3840,6340
Caserne 37 Grid0_0,2970,40146.1,2520,1500,2555
Caserne 37 Grid0_1,12173,240354.2,10410,6035,10410
Caserne 37 Grid0_2,3827,38637.9,3120,1580,3185
Caserne 37 Grid1_0,8818,146629.6,7235,4340,7210
Caserne 37 Grid1_1,23834,676532.5,20430,12330,20650
Caserne 37 Grid1_2,5918,123595.1,5025,3045,5075
Caserne 37 Grid2_0,18536,496212.6,15340,8650,15120
Caserne 37 Grid2_1,18829,565621.5,16305,9925,16270
Caserne 37 Grid2_2,2884,76470.5,2530,1515,2570
Caserne 37 Grid3_0,8859,210308.1,7545,4580,7700
Caserne 37 Grid3_1,3407,86438.8,2875,1725,2930
Caserne 38 Grid0_1,1626,292.8,1255,595,1320
Caserne 38 Grid0_2,1626,292.8,1255,595,1320
Caserne 38 Grid0_3,2997,833.3,1910,890,1960
Caserne 38 Grid0_4,3699,1006.6,2300,1055,2340
Caserne 38 Grid0_5,2073,713.8,1045,460,1020
Caserne 38 Grid0_6,702,173.3,390,165,380
Caserne 38 Grid1_0,2976,746.6,2370,1130,2465
Caserne 38 Grid1_1,2976,746.6,2370,1130,2465
Caserne 38 Grid1_2,3696,1729,2960,1485,3110
Caserne 38 Grid1_3,3741,7209.5,3040,1505,3090
Caserne 38 Grid1_4,3292,4160.3,2445,1140,2460
Caserne 38 Grid1_5,3262,26128.5,2600,1365,2620
Caserne 38 Grid1_6,3481,19651,2690,1290,2605
Caserne 38 Grid2_0,2976,746.6,2370,1130,2465
Caserne 38 Grid2_1,2910,3899.2,2415,1240,2455
Caserne 38 Grid2_2,6615,54341.4,5635,3130,5770
Caserne 38 Grid2_3,10225,99101.5,8535,4440,8630
Caserne 38 Grid2_4,8529,75907.3,7070,3310,6960
Caserne 38 Grid2_5,10588,115392.1,8820,4650,8905
Caserne 38 Grid2_6,8877,90082.7,7370,3870,7295
Caserne 38 Grid2_7,3033,24588,2515,1365,2435
Caserne 38 Grid3_1,2863,10002.3,2305,1250,2280
Caserne 38 Grid3_2,3828,26131.7,3125,1645,3190
Caserne 38 Grid3_3,7333,53995.4,5535,2830,5640
Caserne 38 Grid3_4,5788,48937.6,4620,2150,4640
Caserne 38 Grid3_5,7537,90499.2,6050,3340,5975
Caserne 38 Grid3_6,7583,84041.8,6215,3450,6255
Caserne 38 Grid3_7,2702,27586.7,2220,1365,2255
Caserne 39 Grid0_0,9324,137648.3,7965,4380,8030
Caserne 39 Grid0_1,10751,171798.1,8945,4755,8775
Caserne 39 Grid0_2,3419,26201.1,2870,1605,2840
Caserne 39 Grid1_0,3977,49358.2,3370,1980,3565
Caserne 39 Grid1_1,10770,157843.1,8965,4945,8950
Caserne 39 Grid1_2,14317,175243.7,12100,7345,12125
Caserne 39 Grid1_3,3944,6885.6,3380,2145,3340
Caserne 39 Grid2_0,4047,6602.2,2805,1685,2775
Caserne 39 Grid2_1,13620,173157.9,10780,6445,10775
Caserne 39 Grid2_2,13895,235159.2,11520,7025,11730
Caserne 39 Grid2_3,2863,8978.8,2185,1395,2205
Caserne 39 Grid3_1,6741,40610.9,5025,2875,5025
Caserne 39 Grid3_2,4021,34301.8,3385,1925,3485
Caserne 39 Grid3_3,2569,27853.6,2140,1225,2255
Caserne 39 Grid4_1,1736,5903.9,1485,845,1535
Caserne 39 Grid4_2,1736,5903.9,1485,845,1535
Caserne 39 Grid4_3,835,424.2,700,400,755
Caserne 40 Grid0_0,10428,95095.4,8050,4285,7890
Caserne 40 Grid0_1,9561,105295.7,7305,3945,7315
Caserne 40 Grid0_2,8548,39422.7,6105,3375,6150
Caserne 40 Grid0_3,2717,3789.9,1640,965,1635
Caserne 40 Grid1_0,11379,130657.7,8985,4780,9000
Caserne 40 Grid1_1,13163,172121.5,10525,5935,10375
Caserne 40 Grid1_2,9985,91054,7880,4590,7890
Caserne 40 Grid1_3,4625,12294.5,3285,1975,3295
Caserne 40 Grid2_0,7964,99234.1,6605,3895,6645
Caserne 40 Grid2_1,10790,142336.7,9015,5395,9020
Caserne 40 Grid2_2,11072,176432.8,9195,5260,9260
Caserne 40 Grid2_3,3799,26340.5,3195,1830,3330
Caserne 40 Grid2_4,1301,798.3,1095,625,1110
Caserne 40 Grid3_0,495,1908.2,425,275,450
Caserne 40 Grid3_2,623,3240.5,510,285,465
Caserne 40 Grid3_3,1458,3664.7,1210,685,1220
Caserne 40 Grid3_4,835,424.2,700,400,755
Caserne 41 Grid0_0,8806,273733.5,7135,3395,7190
Caserne 41 Grid0_1,8692,326750.8,7080,3425,7225
Caserne 41 Grid1_0,7333,122390.2,6160,3385,5960
Caserne 41 Grid1_1,19152,673414.2,15965,8495,15815
Caserne 41 Grid2_0,10578,199987.6,9170,5605,8975
Caserne 41 Grid2_1,7104,202647.1,5975,3275,5810
Caserne 42 Grid0_3,452,778,160,60,135
Caserne 42 Grid0_4,1865,2130.5,1245,540,1185
Caserne 42 Grid1_2,2333,7622.4,1650,665,1530
Caserne 42 Grid1_3,2568,2824.7,1825,735,1725
Caserne 42 Grid1_4,2568,2824.7,1825,735,1725
Caserne 42 Grid2_1,2164,18520.1,1650,930,1670
Caserne 42 Grid2_2,5806,50496.4,4700,2015,4625
Caserne 42 Grid2_3,3544,11921,2770,1145,2710
Caserne 42 Grid3_1,6463,61133.6,4390,2415,4555
Caserne 42 Grid3_2,12356,152387.4,8965,4980,8985
Caserne 42 Grid4_0,5417,58204.7,4135,2230,4230
Caserne 42 Grid4_1,9636,104169,7170,3560,7235
Caserne 42 Grid4_2,14887,263630.8,10895,5625,10725
Caserne 42 Grid5_0,9678,91381.3,6990,3735,7140
Caserne 42 Grid5_1,11254,134147.8,9160,4385,9055
Caserne 42 Grid5_2,5623,101857.2,4400,2160,4390
Caserne 42 Grid6_0,3834,22102,2550,1280,2550
Caserne 42 Grid6_1,9764,80241.9,7685,3810,7745
Caserne 42 Grid6_2,1547,5790.7,1205,610,1120
Caserne 43 Grid0_0,3058,40721.1,2495,1495,2415
Caserne 43 Grid0_1,8192,118504.1,6140,3730,6070
Caserne 43 Grid0_2,10966,171135.6,8500,5005,8530
Caserne 43 Grid0_3,2059,28258.6,1735,960,1725
Caserne 43 Grid1_0,7482,101267.1,6115,3665,6290
Caserne 43 Grid1_1,12274,175940.4,9945,5900,9935
Caserne 43 Grid1_2,10331,136719.6,8405,4755,8370
Caserne 43 Grid1_3,4187,38552.8,3470,1890,3510
Caserne 43 Grid2_0,486,6731.3,385,220,370
Caserne 43 Grid2_1,3150,46134.9,2560,1355,2415
Caserne 43 Grid2_2,3227,46129.1,2530,1275,2435
Caserne 43 Grid2_3,9089,99333.5,7190,4120,7115
Caserne 43 Grid3_3,1783,25070.2,1560,1010,1645
Caserne 44 Grid0_4,1867,12104.9,1510,695,1585
Caserne 44 Grid0_5,7342,60248.4,6035,2680,6075
Caserne 44 Grid0_6,2305,16248.7,1785,910,1870
Caserne 44 Grid1_4,5477,47187.7,4500,2040,4585
Caserne 44 Grid1_5,9134,70530,7415,3285,7450
Caserne 44 Grid1_6,4975,31198.6,4065,1900,4105
Caserne 44 Grid1_7,1341,1334.2,1140,490,1100
Caserne 44 Grid2_3,7474,21293.4,5390,2415,5405
Caserne 44 Grid2_4,10288,46645.8,7740,3280,7765
Caserne 44 Grid2_5,7409,32076.8,5525,2265,5510
Caserne 44 Grid2_6,2017,1062.3,1215,560,1160
Caserne 44 Grid2_7,646,521.8,560,265,520
Caserne 44 Grid3_2,1626,292.8,1255,595,1320
Caserne 44 Grid3_3,7214,24933.3,5220,2235,5185
Caserne 44 Grid3_4,6571,31984,4660,1875,4660
Caserne 44 Grid3_5,2692,786.8,1530,720,1470
Caserne 44 Grid3_6,1371,540.5,655,295,640
Caserne 44 Grid4_1,1626,292.8,1255,595,1320
Caserne 44 Grid4_2,1626,292.8,1255,595,1320
Caserne 44 Grid4_3,4085,4505.4,2820,1240,2815
Caserne 44 Grid4_4,2459,4212.6,1565,645,1495
Caserne 44 Grid4_5,2073,713.8,1045,460,1020
Caserne 44 Grid4_6,702,173.3,390,165,380
Caserne 44 Grid5_0,1626,292.8,1255,595,1320
Caserne 44 Grid5_1,1626,292.8,1255,595,1320
Caserne 45 Grid0_0,5414,22056.1,4530,2780,4585
Caserne 45 Grid0_1,5201,64207.3,4445,2755,4475
Caserne 45 Grid1_0,5265,18870.9,4225,2660,4300
Caserne 45 Grid1_1,13370,245255.5,10995,6990,10905
Caserne 45 Grid1_2,838,5963.7,710,405,690
Caserne 45 Grid2_0,1452,1123.7,1220,705,1305
Caserne 45 Grid2_1,3134,15528.4,2300,1405,2495
Caserne 45 Grid2_2,1701,8195.4,1385,835,1390
Caserne 46 Grid0_0,5261,116600.6,4250,2345,4300
Caserne 46 Grid0_1,13056,228187.5,10475,5530,10430
Caserne 46 Grid0_2,6164,71477.7,4835,2465,4800
Caserne 46 Grid1_0,12115,158255.6,9885,5295,9980
Caserne 46 Grid1_1,16321,262044.7,13255,7170,13545
Caserne 46 Grid1_2,10017,129945.7,8195,4360,8185
Caserne 46 Grid1_3,1523,6078.3,1205,655,1120
