Key,incident_nb,DateTime_Out
Caserne 03 Grid0_1,1,2017-08-12
Caserne 03 Grid0_1,1,2017-08-13
Caserne 03 Grid0_1,1,2017-08-15
Caserne 03 Grid0_1,1,2017-08-18
Caserne 03 Grid0_1,1,2017-08-29
Caserne 03 Grid0_1,1,2017-09-02
Caserne 03 Grid0_1,1,2017-09-18
Caserne 03 Grid0_1,1,2017-10-10
Caserne 03 Grid0_1,1,2017-10-19
Caserne 03 Grid0_1,1,2017-11-01
Caserne 03 Grid0_1,1,2017-11-15
Caserne 03 Grid0_1,1,2017-11-24
Caserne 03 Grid0_1,2,2017-12-11
Caserne 03 Grid0_1,1,2017-12-12
Caserne 03 Grid0_1,1,2017-12-19
Caserne 03 Grid0_1,1,2017-12-24
Caserne 03 Grid0_1,1,2017-12-25
Caserne 03 Grid0_1,1,2017-12-30
Caserne 03 Grid0_1,2,2018-01-01
Caserne 03 Grid0_1,1,2018-01-05
Caserne 03 Grid0_1,1,2018-01-19
Caserne 03 Grid0_1,1,2018-01-23
Caserne 03 Grid0_1,1,2018-02-01
Caserne 03 Grid0_1,1,2018-02-02
Caserne 03 Grid0_1,1,2018-02-05
Caserne 03 Grid0_1,2,2018-02-22
Caserne 03 Grid0_1,1,2018-03-23
Caserne 03 Grid0_1,1,2018-04-05
Caserne 03 Grid0_1,1,2018-04-09
Caserne 03 Grid0_1,1,2018-04-14
Caserne 03 Grid0_1,1,2018-04-20
Caserne 03 Grid0_1,1,2018-05-09
Caserne 03 Grid0_1,1,2018-05-16
Caserne 03 Grid0_1,1,2018-05-23
Caserne 03 Grid0_1,1,2018-05-24
Caserne 03 Grid0_1,1,2018-05-25
Caserne 03 Grid0_1,1,2018-05-29
Caserne 03 Grid0_1,1,2018-05-31
Caserne 03 Grid0_1,1,2018-06-14
Caserne 03 Grid0_1,1,2018-07-13
Caserne 03 Grid0_1,1,2018-07-16
Caserne 03 Grid0_1,1,2018-07-25
Caserne 03 Grid0_1,1,2018-08-06
Caserne 03 Grid0_1,1,2018-08-07
Caserne 03 Grid0_1,1,2018-09-06
Caserne 03 Grid0_1,1,2018-09-29
Caserne 03 Grid0_1,2,2018-10-07
Caserne 03 Grid0_1,1,2018-10-10
Caserne 03 Grid0_1,1,2018-11-26
Caserne 03 Grid0_1,1,2018-12-14
Caserne 03 Grid0_1,1,2018-12-25
Caserne 03 Grid0_1,1,2019-01-07
Caserne 03 Grid0_1,1,2019-01-08
Caserne 03 Grid0_1,1,2019-01-13
Caserne 03 Grid0_1,1,2019-01-17
Caserne 03 Grid0_1,1,2019-01-19
Caserne 03 Grid0_1,1,2019-01-24
Caserne 03 Grid0_1,1,2019-02-02
Caserne 03 Grid0_1,1,2019-02-19
Caserne 03 Grid0_1,1,2019-02-20
Caserne 03 Grid0_1,1,2019-02-28
Caserne 03 Grid0_1,1,2019-03-02
Caserne 03 Grid0_1,1,2019-03-09
Caserne 03 Grid0_1,1,2019-03-11
Caserne 03 Grid0_1,1,2019-03-13
Caserne 03 Grid0_1,1,2019-03-20
Caserne 03 Grid0_1,1,2019-04-13
Caserne 03 Grid0_1,1,2019-04-21
Caserne 03 Grid0_1,1,2019-04-24
Caserne 03 Grid0_1,1,2019-05-03
Caserne 03 Grid0_1,1,2019-05-17
Caserne 03 Grid0_1,1,2019-06-01
Caserne 03 Grid0_1,1,2019-06-02
Caserne 03 Grid0_1,1,2019-06-09
Caserne 03 Grid0_1,1,2019-06-15
Caserne 03 Grid0_1,2,2019-06-25
Caserne 03 Grid0_1,1,2019-07-15
Caserne 03 Grid0_1,1,2019-07-18
Caserne 03 Grid0_1,1,2019-08-14
Caserne 03 Grid0_1,1,2019-08-15
Caserne 03 Grid0_1,1,2019-08-16
Caserne 03 Grid0_1,1,2019-08-28
Caserne 03 Grid0_1,1,2019-09-09
Caserne 03 Grid0_1,1,2019-10-23
Caserne 03 Grid0_1,1,2019-10-29
Caserne 03 Grid0_1,1,2019-10-31
Caserne 03 Grid0_1,1,2019-11-03
Caserne 03 Grid0_1,1,2019-11-13
Caserne 03 Grid0_1,1,2019-11-14
Caserne 03 Grid0_1,1,2019-11-29
Caserne 03 Grid0_1,1,2019-12-02
Caserne 03 Grid0_1,1,2019-12-03
Caserne 03 Grid0_1,1,2019-12-18
Caserne 03 Grid0_1,1,2020-01-04
Caserne 03 Grid0_1,1,2020-01-18
Caserne 03 Grid0_1,2,2020-01-22
Caserne 03 Grid0_1,1,2020-02-02
Caserne 03 Grid0_1,2,2020-02-03
Caserne 03 Grid0_1,1,2020-02-19
Caserne 03 Grid0_1,1,2020-02-22
Caserne 03 Grid0_1,1,2020-02-25
Caserne 03 Grid0_1,1,2020-03-16
Caserne 03 Grid0_1,1,2020-03-25
Caserne 03 Grid0_1,1,2020-04-01
Caserne 03 Grid0_1,1,2020-04-06
Caserne 03 Grid0_1,1,2020-04-15
Caserne 03 Grid0_1,1,2020-04-24
Caserne 03 Grid0_1,2,2020-04-28
Caserne 03 Grid0_1,1,2020-05-07
Caserne 03 Grid0_1,1,2020-05-20
Caserne 03 Grid0_1,1,2020-05-26
Caserne 03 Grid0_1,1,2020-06-01
Caserne 03 Grid0_1,2,2020-06-12
Caserne 03 Grid0_1,1,2020-06-15
Caserne 03 Grid0_1,1,2020-06-16
Caserne 03 Grid0_1,1,2020-07-04
Caserne 03 Grid0_1,1,2020-07-05
Caserne 03 Grid0_1,1,2020-07-07
Caserne 03 Grid0_1,1,2020-07-15
Caserne 03 Grid0_1,1,2020-07-18
Caserne 03 Grid0_1,1,2020-07-19
Caserne 03 Grid0_1,1,2020-07-24
Caserne 03 Grid0_1,1,2020-07-31
Caserne 03 Grid0_1,1,2020-08-09
Caserne 03 Grid0_1,1,2020-08-20
Caserne 03 Grid0_1,1,2020-09-02
Caserne 03 Grid0_1,1,2020-09-11
Caserne 03 Grid0_1,1,2020-09-21
Caserne 03 Grid0_1,1,2020-09-22
Caserne 03 Grid0_1,1,2020-09-28
Caserne 03 Grid0_1,1,2020-10-15
Caserne 03 Grid0_1,1,2020-10-24
Caserne 03 Grid0_1,1,2020-10-30
Caserne 03 Grid0_1,1,2020-11-04
Caserne 03 Grid0_1,1,2020-11-25
Caserne 03 Grid0_1,1,2020-12-23
Caserne 03 Grid0_1,1,2021-01-07
Caserne 03 Grid0_1,1,2021-01-19
Caserne 03 Grid0_1,1,2021-01-24
Caserne 03 Grid0_1,1,2021-02-07
Caserne 03 Grid0_1,1,2021-02-11
Caserne 03 Grid0_1,1,2021-02-28
Caserne 03 Grid0_1,1,2021-03-15
Caserne 03 Grid0_1,1,2021-03-18
Caserne 03 Grid0_1,1,2021-03-20
Caserne 03 Grid0_1,1,2021-04-17
Caserne 03 Grid0_1,1,2021-04-25
Caserne 03 Grid0_1,1,2021-04-29
Caserne 03 Grid0_1,1,2021-05-02
Caserne 03 Grid0_1,1,2021-05-03
Caserne 03 Grid0_1,1,2021-05-07
Caserne 03 Grid0_1,1,2021-05-29
Caserne 03 Grid0_1,1,2021-06-09
Caserne 03 Grid0_1,1,2021-06-10
Caserne 03 Grid0_1,1,2021-06-15
Caserne 03 Grid0_1,1,2021-06-16
Caserne 03 Grid0_1,1,2021-06-17
Caserne 03 Grid0_1,1,2021-06-20
Caserne 03 Grid0_1,2,2021-07-06
Caserne 03 Grid0_1,1,2021-07-09
Caserne 03 Grid0_1,1,2021-07-12
Caserne 03 Grid0_1,1,2021-07-13
Caserne 03 Grid0_1,2,2021-08-09
Caserne 03 Grid0_1,1,2021-08-11
Caserne 03 Grid0_1,1,2021-08-19
Caserne 03 Grid0_1,1,2021-08-22
Caserne 03 Grid0_1,1,2021-08-24
Caserne 03 Grid0_1,1,2021-09-02
Caserne 03 Grid0_1,1,2021-09-04
Caserne 03 Grid0_1,1,2021-09-25
Caserne 03 Grid0_1,1,2021-09-26
Caserne 03 Grid0_1,1,2021-10-03
Caserne 03 Grid0_1,1,2021-10-06
Caserne 03 Grid0_1,1,2021-10-12
Caserne 03 Grid0_1,1,2021-10-26
Caserne 03 Grid0_1,1,2021-11-14
Caserne 03 Grid0_1,1,2021-11-22
Caserne 03 Grid0_1,1,2021-11-27
Caserne 03 Grid0_1,1,2021-12-12
Caserne 03 Grid0_1,1,2021-12-15
Caserne 03 Grid0_1,1,2021-12-16
Caserne 03 Grid0_1,1,2021-12-19
Caserne 03 Grid0_1,1,2021-12-22
Caserne 03 Grid0_1,1,2021-12-26
Caserne 03 Grid0_1,1,2021-12-30
Caserne 03 Grid0_1,1,2021-12-31
Caserne 03 Grid0_1,2,2022-02-04
Caserne 03 Grid0_1,1,2022-02-09
Caserne 03 Grid0_1,1,2022-02-11
Caserne 03 Grid0_1,1,2022-03-07
Caserne 03 Grid0_1,2,2022-03-17
Caserne 03 Grid0_1,2,2022-03-18
Caserne 03 Grid0_1,1,2022-03-19
Caserne 03 Grid0_1,1,2022-04-23
Caserne 03 Grid0_1,1,2022-04-26
Caserne 03 Grid0_1,1,2022-04-29
Caserne 03 Grid0_1,1,2022-05-06
Caserne 03 Grid0_1,1,2022-05-13
Caserne 03 Grid0_1,1,2022-05-21
Caserne 03 Grid1_0,1,2015-01-09
Caserne 03 Grid1_0,1,2015-01-10
Caserne 03 Grid1_0,1,2015-01-15
Caserne 03 Grid1_0,1,2015-01-18
