Key,Count,quarter
Caserne 05 Grid0_2,12,2017 Q1
Caserne 05 Grid0_2,1,2017 Q2
Caserne 05 Grid0_2,2,2017 Q3
Caserne 05 Grid0_2,5,2017 Q4
Caserne 05 Grid0_2,5,2018 Q1
Caserne 05 Grid0_2,2,2018 Q2
Caserne 05 Grid0_2,4,2018 Q3
Caserne 05 Grid0_2,7,2018 Q4
Caserne 05 Grid0_2,3,2019 Q1
Caserne 05 Grid0_2,7,2019 Q2
Caserne 05 Grid0_2,3,2019 Q3
Caserne 05 Grid0_2,8,2019 Q4
Caserne 05 Grid0_2,7,2020 Q1
Caserne 05 Grid0_2,1,2020 Q2
Caserne 05 Grid0_2,2,2020 Q3
Caserne 05 Grid0_2,5,2020 Q4
Caserne 05 Grid0_2,1,2021 Q1
Caserne 05 Grid0_2,2,2021 Q3
Caserne 05 Grid0_2,1,2021 Q4
Caserne 05 Grid0_2,5,2022 Q1
Caserne 05 Grid0_2,3,2022 Q2
Caserne 05 Grid1_0,10,2015 Q1
Caserne 05 Grid1_0,12,2015 Q2
Caserne 05 Grid1_0,18,2015 Q3
Caserne 05 Grid1_0,9,2015 Q4
Caserne 05 Grid1_0,10,2016 Q1
Caserne 05 Grid1_0,10,2016 Q2
Caserne 05 Grid1_0,11,2016 Q3
Caserne 05 Grid1_0,15,2016 Q4
Caserne 05 Grid1_0,28,2017 Q1
Caserne 05 Grid1_0,28,2017 Q2
Caserne 05 Grid1_0,31,2017 Q3
Caserne 05 Grid1_0,10,2017 Q4
Caserne 05 Grid1_0,9,2018 Q1
Caserne 05 Grid1_0,9,2018 Q2
Caserne 05 Grid1_0,27,2018 Q3
Caserne 05 Grid1_0,14,2018 Q4
Caserne 05 Grid1_0,12,2019 Q1
Caserne 05 Grid1_0,15,2019 Q2
Caserne 05 Grid1_0,15,2019 Q3
Caserne 05 Grid1_0,16,2019 Q4
Caserne 05 Grid1_0,4,2020 Q1
Caserne 05 Grid1_0,13,2020 Q2
Caserne 05 Grid1_0,10,2020 Q3
Caserne 05 Grid1_0,14,2020 Q4
Caserne 05 Grid1_0,8,2021 Q1
Caserne 05 Grid1_0,16,2021 Q2
Caserne 05 Grid1_0,15,2021 Q3
Caserne 05 Grid1_0,11,2021 Q4
Caserne 05 Grid1_0,11,2022 Q1
Caserne 05 Grid1_0,11,2022 Q2
Caserne 05 Grid1_1,7,2015 Q1
Caserne 05 Grid1_1,6,2015 Q2
Caserne 05 Grid1_1,6,2015 Q3
Caserne 05 Grid1_1,4,2015 Q4
Caserne 05 Grid1_1,6,2016 Q1
Caserne 05 Grid1_1,6,2016 Q2
Caserne 05 Grid1_1,7,2016 Q3
Caserne 05 Grid1_1,1,2016 Q4
Caserne 05 Grid1_1,3,2017 Q1
Caserne 05 Grid1_1,5,2017 Q2
Caserne 05 Grid1_1,13,2017 Q3
Caserne 05 Grid1_1,6,2017 Q4
Caserne 05 Grid1_1,3,2018 Q1
Caserne 05 Grid1_1,3,2018 Q2
Caserne 05 Grid1_1,6,2018 Q3
Caserne 05 Grid1_1,6,2018 Q4
Caserne 05 Grid1_1,4,2019 Q1
Caserne 05 Grid1_1,3,2019 Q2
Caserne 05 Grid1_1,11,2019 Q3
Caserne 05 Grid1_1,11,2019 Q4
Caserne 05 Grid1_1,5,2020 Q1
Caserne 05 Grid1_1,3,2020 Q2
Caserne 05 Grid1_1,7,2020 Q3
Caserne 05 Grid1_1,2,2020 Q4
Caserne 05 Grid1_1,6,2021 Q1
Caserne 05 Grid1_1,2,2021 Q2
Caserne 05 Grid1_1,8,2021 Q3
Caserne 05 Grid1_1,8,2021 Q4
Caserne 05 Grid1_1,4,2022 Q1
Caserne 05 Grid1_1,4,2022 Q2
Caserne 08 Grid0_0,1,2015 Q2
Caserne 08 Grid0_0,1,2015 Q3
Caserne 08 Grid0_0,2,2016 Q3
Caserne 08 Grid0_0,2,2018 Q3
