NOM_CAS_AD,NO_CAS_ADM,OBJECTID,AreaSqKm,CentroidX,CentroidY,GridName,Key,GEO_UID,DA_NAME,Population,Pop__Densi,Appart_in_,Income___T,Income___2,Income___3,Housing___,Education_,DAUID,PRUID,PRNAME,CDUID,CDNAME,CDTYPE,CCSUID,CCSNAME,CSDUID,CSDNAME,CSDTYPE,ERUID,ERNAME,SACCODE,SACTYPE,CMAUID,CMAPUID,CMANAME,CMATYPE,CTUID,CTNAME,ADAUID
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661614,1614,834,11031.7,0,650,100,55.3,300,625,24661614,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661556,1556,594,6867.1,0,510,100,63.5,200,510,24661556,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620223.02,0223.02,24660123
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661617,1617,307,18058.8,60,270,100,50.1,150,265,24661617,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661618,1618,999,27520.7,5,770,100,56.7,315,810,24661618,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661555,1555,686,19215.7,0,585,100,59.5,300,580,24661555,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661554,1554,330,9649.1,0,260,100,59.7,135,320,24661554,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24660479,0479,668,1370.5,0,555,100,72.1,320,605,24660479,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620225.00,0225.00,24660110
Caserne 41,41,303,2.481931,-73.629413,45.531477,Grid0_0,Caserne 41 Grid0_0,24661551,1551,505,13873.6,0,430,100,60.9,215,415,24661551,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620224.00,0224.00,24660120
Caserne 15,15,309,6.604829,-73.552165,45.480125,Grid0_0,Caserne 15 Grid0_0,24661125,1125,974,5881.6,160,790,100,77.8,485,750,24661125,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620076.00,0076.00,24660158
Caserne 50,50,310,6.108486,-73.569336,45.567629,Grid0_0,Caserne 50 Grid0_0,24660234,0234,564,10162.2,0,490,100,68.5,300,510,24660234,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620197.00,0197.00,24660054
Caserne 50,50,310,6.108486,-73.569336,45.567629,Grid0_0,Caserne 50 Grid0_0,24660230,0230,506,9353,0,410,100,61.2,205,405,24660230,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620601.02,0601.02,24660051
Caserne 50,50,310,6.108486,-73.569336,45.567629,Grid0_0,Caserne 50 Grid0_0,24661705,1705,723,4225.6,0,475,100,64.5,295,480,24661705,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620197.00,0197.00,24660054
Caserne 50,50,310,6.108486,-73.569336,45.567629,Grid0_0,Caserne 50 Grid0_0,24660229,0229,602,9885.1,0,495,100,60.2,250,465,24660229,24,Quebec / Québec,2466,Montréal,TÉ,2466023,Montréal,2466023,Montréal,V,2440,Montréal,462,1,462,24462,Montréal,B,4620601.01,0601.01,24660051
